Address,BuildingArea,YearBuilt
2/292 Tooronga Rd,205.0,2006.0
56 Wills St,115.0,1930.0
3 Barina Rd,,
1/38 Hillside Pde,,2001.0
5/1537 Malvern Rd,,
229 Tooronga Rd,116.0,1930.0
101/220 Burke Rd,43.0,2012.0
1/38 Edgar St,33.0,1960.0
1/64 Edgar St N,,
8/64 Edgar St Nth,,
1/8 Estella St,,
1597 Malvern Rd,123.0,1950.0
4/17 Belmont Av,,
218 Burke Rd,,1910.0
27 Celia St,,
2/14 Flowerdale Rd,,
116 High St,206.0,2013.0
1 Maitland St,217.0,1910.0
3/1464 Malvern Rd,,
27 Sunhill Rd,26.0,1999.0
6/219 Burke Rd,,
8 Courang Rd,,1930.0
2 Harris Av,,
76 Iris Rd,,
8 Morell St,,
13 Nash St,235.0,1935.0
33 Rosedale Rd,326.0,2000.0
32 Ruskin Rd,338.0,1980.0
33A Scott Gr,,
23 Somerset Rd,,
10 Yeovil Rd,,
2/21 Belmont Av N,,
10 Bridges St,258.0,2004.0
1485 High St,334.0,1905.0
10 Howard St,,1980.0
5/138 Milton Pde,,
12 Mons St,174.0,1940.0
14 Rosedale Rd,,
17 Rosedale Rd,184.0,1950.0
20 Ruskin Rd,,1920.0
2/6 Summerhill Rd,114.0,2006.0
8 White St,209.0,1935.0
7 Winifred Cr,,
3 Florence St,336.0,1930.0
23 Flowerdale Rd,520.0,2009.0
31 Gardiner Pde,326.0,1930.0
2/2 Jickell Av,,
5/1679 Malvern Rd,,1960.0
8 Rosemary Gr,,
32/1495 Malvern Rd,,
37 Valley Pde,195.0,1940.0
2b York Rd,,
1/58 Edgar St N,1143.0,
53 Celia St,224.0,1935.0
2/13 Estella St,,
7 Hope St,,
15 Howitt St,,1910.0
3/32 Iris Rd,,
63 Aintree Rd,,
17 Allaville Av,,
98 Bath Rd,155.0,1960.0
28 Ferndale Rd,142.0,1930.0
32 Howie St,140.0,1930.0
22 Kyarra Rd,205.0,1930.0
14/1737 Malvern Rd,,
15/56 Osborne Av,,
4/15 Rix St,74.0,1940.0
8 Rix St,107.0,1935.0
37 Sinclair Av,,
78 Valley Pde,246.0,2007.0
8 Hadley Ct,,
2/7 Maitland St,,
1687 Malvern Rd,153.0,1930.0
21 Beatrice St,143.0,1941.0
8/251 Burke Rd,80.0,1960.0
1/47 Carroll Cr,,
60 Madeline St,607.0,1940.0
2 Martin Cr,,
24 Allison Av,,
1D Belmont Av,,
44A Beryl St,,
16 Bourne Rd,461.0,2006.0
3/41 Edgar St,160.0,1980.0
3/1526 High St,,2011.0
53 Madeline St,,
21 Park Rd,,1989.0
14 Queens Pde,354.0,2015.0
22 Rix St,215.0,1925.0
15 Rosedale Rd,166.0,1930.0
8/304 Tooronga Rd,63.0,1970.0
30 Valley Pde,216.0,1930.0
44 Vincent St,290.0,2010.0
15 Yeovil Rd,295.0,1966.0
31 Britten St,401.0,2006.0
4/68 Edgar St N,,
3 Fairview Gr,270.0,1925.0
18 Netherlee St,424.0,2000.0
1 Rosedale Rd,,
59 Staughton Rd,,1980.0
4 Allison Av,,
8 Barbara Av,,
2 Bell St,,
24 Brandon St,193.0,1975.0
13 Penrhyn Av,,
45 Rosedale Rd,,
318 Tooronga Rd,107.0,1910.0
35 Adrian St,672.0,1930.0
8/13 Glenvale Rd,,
75 Pascoe St,,
5 Penrhyn Av,,
2/13 Becket St S,,
89 John St,118.0,1960.0
1/83 Maude Av,,
18 Pengana Av,,
52 Tarana Av,,
11 Valley Cr,,
4 Cross Tce,,1960.0
55 Daley St,144.0,1960.0
2/74 Daley St,3.0,
62 Farview St,,
82 Melbourne Av,,
39 Morley St,127.0,1965.0
8 Rowan St,100.0,1960.0
23 Wheatsheaf Rd,,
13 Acacia St,,
1/38 Finchley Av,,
3/45 Isla Av,,
21 Langton St,,
66 Langton St,,
2 Roy St,138.0,2017.0
42 Sadie St,105.0,1950.0
29 Salisbury St,122.0,1960.0
15 Stanley St,136.0,1950.0
15 Valley Cr,,
28 Centre Wy,,
20 Leonard Av,,
76 Outlook Dr,,
123 Glenroy Rd,,
3/27 Harold St,100.0,2010.0
45 Stanley St,,
46 Stanley St,,
1c Barwon St,114.0,2010.0
1/23 Gordon Ct,,
23 Tarana Av,,
13 Cherwell Av,,
79 Glen St,,
68 Moonee Bvd,,
11 Caldwell St,,1976.0
1 Gordon Ct,97.0,1950.0
134 John St,,
4 Lyons St,,
24a Morell St,3.0,1950.0
1/919 Pascoe Vale Rd,,2003.0
87 Beatty Av,,
6 Cosmos St,,
62 Everard St,,
108 Loongana Av,,
3/95 Loongana Av,,
3/67 Morell St,,
3/28 Stanley St,130.0,2014.0
2/3 Surrey St,,
2/8 Becket St S,,
30 Bourchier St,140.0,1960.0
44 Daley St,,
6 Dromana St,124.0,1956.0
137 Glenroy Rd,115.0,1950.0
1/19 Lytton St,,
116 Melbourne Av,,
2/49 Melbourne Av,,
24 Trevannion St,81.0,1950.0
1 Tudor St,,
45 Cosmos St,176.0,1950.0
116b Hilton St,,
41 Isla Av,,
8/77 Chapman Av,,
9/11 Currajong St,61.0,1970.0
1/1 Danae St,106.0,1970.0
19 Justin Av,,
2/67 Morell St,,
24 Sadie St,120.0,1960.0
7/89 Station Rd,74.0,1970.0
57 View St,,
1/61 Loongana Av,,
39 Melbourne Av,,
16 Valley Cr,,
149 Augustine Tce,130.0,2000.0
45 Fran St,125.0,1960.0
69 Hartington St,100.0,1950.0
2/148 Hilton St,158.0,2013.0
7 Isla Av,,
1/25 Morell St,96.0,1960.0
41 Ridgeway Av,,
2/22 Sadie St,81.0,2000.0
44 Widford St,,
57 Widford St,,
20 Tarana Av,,
64 Valley Cr,,
40 View St,85.0,1950.0
2/14 Langton St,,
103 View St,,
10 Anselm Gr,102.0,1960.0
1/112 Cardinal Rd,150.0,2014.0
55 Fran St,,1970.0
9a Kennedy St,,
6/2 Murrell St,,
4 Trevannion St,,
21A Cosmos St,,
97 Loongana Av,,
4/788 Pascoe Vale Rd,,
14/854 Pascoe Vale Rd,,
2/36 Prospect St,131.0,2014.0
139 John St,180.0,1970.0
54 John St,164.0,1970.0
1/12 Maude Av,,
29 Melbourne Av,,
40 Moonee Bvd,126.0,1980.0
1/40 Morley St,,
6 Morley St,269.0,1970.0
23 Palana St,,
2/709 Pascoe Vale Rd,99.0,2014.0
1/2 Prospect St,,1995.0
1a Stella St,,
108 Valley Cr,,
48 Everard St,142.0,1960.0
11 Freeman Dr,,
1/28 Gladstone Pde,,
3/4 Murrell St,,1975.0
1/38 Stanley St,91.0,2012.0
1/80 Tarana Av,,
128 Widford St,104.0,1960.0
13a Anselm Gr,,
54 Cromwell St,130.0,1960.0
37 Farview St,,
10a Melbourne Av,,
106 Outlook Dr,139.0,1968.0
30 Valley Cr,,
1/7 Harold St,129.0,2010.0
2/27 Morley St,,
55 Paget Av,,
3/83 Maude Av,,
46 Moonee Bvd,159.0,1968.0
3/42 Pecham St,,
47 Cardinal Rd,192.0,2014.0
135 Hilton St,150.0,1960.0
3/19 Isla Av,,
34 Melbourne Av,,
29 Moonee Bvd,146.0,1975.0
46 Sadie St,,
83 Beatty Av,,
118 Bindi St,,
65 Farview St,100.0,1960.0
3/27 Gladstone Pde,89.0,2012.0
52 Glenroy Rd,88.0,1955.0
40 Augustine Tce,116.0,2017.0
4/36 Acacia St,2.0,
44 Everard St,,
1/47 Lytton St,,
98 Melbourne Av,,
109 Paget Av,,
6 Pengana Av,,
1/15 Acacia St,,
50 Chapman Av,,
107 Glenroy Rd,304.0,1935.0
4 Glenroy Rd,,
165 Hilton St,180.0,1950.0
80 Isla Av,,
10 Justin Av,,
57 Maude Av,,
72 Pecham St,135.0,1950.0
3/48 William St,77.0,2013.0
1/26 York St,143.0,2001.0
33 Maude Av,,
3/132 Widford St,121.0,2010.0
14 William St,,
23 Cromwell St,116.0,1950.0
47 Justin Av,,
35 Paget Av,,
87 Plumpton Av,,
1/97 Plumpton Av,,
16 York St,,
2/4 Ash Ct,155.0,2000.0
44 Morley St,194.0,1970.0
34 Ridgeway Av,,
33 View St,258.0,2005.0
1 Gowanbrae Dr,138.0,2001.0
31 Seggan Cir,19.0,2005.0
12 Bluebell Cr,,
13 Seggan Cir,,
41 Balerno Cir,139.0,2004.0
9 Balderrie Ct,301.0,2010.0
39 Balerno Cir,138.0,2000.0
1/2 Lanark Wy,,
2 Mirrim Pl,264.0,2005.0
8 Perth Ct,213.0,2007.0
3 Gowanbrae Dr,,
42 Seggan Cir,134.0,2004.0
11 Seggan Cir,185.0,
41 Marigold Cr,,
6 Birk Ct,141.0,2008.0
1 Bluebell Cr,,
24 Balerno Cir,136.0,2005.0
49 Rutherglen Cr,,
134 Marigold Cr,,
18 Primula Bvd,251.0,2000.0
14 Birk Ct,,
8 Perth Ct,213.0,2007.0
45 Marigold Cr,,
20 Bedford St,116.0,1960.0
1/1 Lockley St,,
29 Sutherland St,103.0,1970.0
2 Knole St,98.0,1950.0
8 Sherwood St,112.0,1970.0
4 Surrey St,268.0,2010.0
26 South St,129.0,1950.0
70 West St,,
16 Bedford St,,
41 Davies St,,1983.0
21a Edgar St,,2005.0
2/32 David St,,
1/11 Talbot St,,
10 Volga St,,1980.0
2/3 Surrey St,96.0,2010.0
115 West St,168.0,1950.0
148 West St,161.0,1970.0
86 Hilton St,159.0,1970.0
27 Middle St,134.0,1970.0
75 West St,116.0,1960.0
25 Francis St,,
63 East St,,1950.0
24 South St,251.0,2011.0
40 Angus St,115.0,1960.0
3 Edgar St,95.0,1950.0
72 Middle St,,1960.0
9 South St,106.0,1970.0
1/32 Sutherland St,113.0,2000.0
4 Thames St,,
1 Barunah St,176.0,1960.0
25 Larlac St,,
101 Middle St,103.0,1950.0
23 Surrey St,102.0,1960.0
3/99 East St,,
15 Lawrence St,,
1/22 Volga St,115.0,2012.0
11 Dickinson St,,1960.0
24 Talbot St,95.0,1965.0
24A South St,,
35 Angus St,,
19 Barbara St,142.0,1960.0
100 South St,2.0,1970.0
1/51 North St,,
13 Gish Ct,,
6 Hyde St,132.0,1970.0
42 West St,,
28 Gish Ct,,1950.0
92 West St,92.0,1960.0
119 Middle St,,
2/22 Volga St,110.0,2012.0
15 Curtin Av,,
2/91 East St,,
107 Hilton St,,
6 Mikado St,147.0,1950.0
3 Charles St,,
25 East St,79.0,1990.0
14 Sutherland St,,
38 Tassell St,,
21 Volga St,,
1/30 Grenville St,87.0,1975.0
6/334 Hampton St,74.0,1975.0
38 Myrtle Rd,320.0,2015.0
3/31 Thomas St,,
36 Thomas St,300.0,1904.0
27 David St,,
6 Earlsfield Rd,187.0,1925.0
55 Holyrood St,160.0,
3 Kendall St,242.0,2011.0
7 Olive St,228.0,2003.0
108 Orlando St,,
24A Smith St,109.0,1998.0
8/121 Thomas St,85.0,1965.0
25 Thomas St,,
78 Thomas St,,
1/5 Walker Av,,
2/524 Bluff Rd,168.0,
8 Bronte Ct,125.0,1955.0
9/36 Crisp St,,
1/88 Fewster Rd,78.0,
37b Retreat Rd,,
35 Teddington Rd,,
6b Poole Av,,
25a Teddington Rd,,
71b Teddington Rd,133.0,1995.0
1a Walker Av,,
3/46 Fewster Rd,86.0,1985.0
5/440 Hampton St,104.0,2005.0
131 Linacre Rd,90.0,1955.0
139 Linacre Rd,,1960.0
154 Ludstone St,265.0,1940.0
84 Thomas St,,
72b David St,,
66a Thomas St,113.0,1984.0
12 Grout St,217.0,1920.0
5 Lagnicourt St,,
4 Bendigo St,325.0,1920.0
43 Fewster Rd,220.0,2014.0
30 Holyrood St,,
54 Linacre Rd,248.0,1925.0
22 Margarita St,,
42 Myrtle Rd,224.0,1950.0
9 Banks Av,,
1/1 Deakin St S,255.0,1997.0
50 Earlsfield Rd,,
78A Highett Rd,,
14 James Cr,,
73 Linacre Rd,,
70 Teddington Rd,,
344 Hampton St,,
199 Ludstone St,94.0,2001.0
310 Hampton St,162.0,1900.0
27/78 Holyrood St,,
9 Foam St,280.0,2010.0
18 Kingston St,,
65 Linacre Rd,413.0,2008.0
118 Ludstone St,,1934.0
29 Olive St,,
3/13 Foam St,,1970.0
3/308 Hampton St,,
9/11 Railway Cr,,
7 Austin Rd,120.0,1970.0
63 Beach Rd,,
3/1 Edinburgh St,115.0,1960.0
10/45 Grenville St,78.0,2006.0
2/8 Grenville St,,
1/33 Holyrood St,137.0,1970.0
26 Teddington Rd,,
39 Thorburn St,,
5/52 Fewster Rd,75.0,1960.0
2b Carolyn St,,2012.0
12 Foam St,,1935.0
29 Thomas St,204.0,1901.0
1/3 Alicia St,,
75 Crisp St,,1935.0
4/308 Hampton St,118.0,1970.0
30 James Cr,,
6/63 Linacre Rd,,2000.0
5b Ocean St,,
16 Smith St,324.0,1950.0
3 Smith St,,
407/427 Hampton St,,
70 Highett Rd,364.0,1950.0
5a James Cr,,
11 Kerferd St,,
21 Kerferd St,,
4/32 Linacre Rd,,1970.0
58 Teddington Rd,,
11 Conifer St,,
29 Grenville St,,
1/3 Littlewood St,,1970.0
6 Valerian St,613.0,1950.0
107 Willis St,323.0,2011.0
31 Avondale St,223.0,1930.0
4 Bayside Cr,,
3 Hudson St,188.0,1940.0
50 Holyrood St,305.0,2000.0
6/45 Grenville St,98.0,2006.0
1/237 Hampton St,,
2/95 Thomas St,140.0,1987.0
29 Barnett St,240.0,2005.0
2/442 Bluff Rd,,
53 Bridge St,303.0,1997.0
5/46 Fewster Rd,,
17/93 Highett Rd,70.0,2007.0
1 Ivison Wy,,
3/56 Beach Rd,,
3/22 Holyrood St,,1999.0
146b Ludstone St,,
3/8 Alicia St,61.0,1970.0
64 Earlsfield Rd,228.0,1950.0
7/31 Littlewood St,,
10 Talbot St,,
1/514 Bluff Rd,,
28 Holyrood St,316.0,1910.0
8 Lagnicourt St,,
91A Linacre Rd,148.0,
49 Service St,209.0,1950.0
136 Thomas St,,
15 Avelin St,184.0,1935.0
17 Bolton Av,,
2/22 Fewster Rd,,
9a Field St,,
107 Linacre Rd,,
146a Ludstone St,,
41 Orlando St,231.0,1940.0
19a Swyer St,,
2/121 Thomas St,87.0,1970.0
17 Bayside Cr,,
6 Highett Rd,,
38 Orlando St,,1880.0
52 Service St,260.0,1925.0
375b Bluff Rd,,
18 Kanowna St,188.0,1925.0
5/18 Small St,,1990.0
20 Highbury Av,,
2/113 Spring Rd,,
1/13 Highbury Av,,
8/22 Kelly Av,,
3 Tarwin Av,,
9/12 Bartlett St,75.0,1960.0
17a Leith Cr,,
9 Widdop Cr,,
1/2 Cooke Av,,
9 Summit Av,,
13 Acheron Ct,,
31 Charming St,,
5 Charming St,,
21a Lonsdale Av,,
57 Lonsdale Av,,
1/13 Stonehaven Cr,,
2/17 Keiller St,,
13 Widdop Cr,,
17 Wishart St,,
1a Bartlett St,,
27 Charming St,,
2/55 Lonsdale Av,,
10a Roydon St,171.0,
33 Widdop Cr,,
24 Apex Av,,
1/23 Wickham Rd,140.0,1950.0
4 Besant St,106.0,1970.0
2/2 Flowerdale Rd,107.0,1994.0
3/113 Spring Rd,,
1/1 Warland Rd,,
28 Roydon St,3.0,2005.0
63 Lonsdale Av,,
4/332 South Rd,68.0,2007.0
31 Warland Rd,,
2a Evans Av,,
3 Besant St,,
2/37 Highbury Av,,
14 Oconnor Cr,,
2 Harry St,,
11a Leith Cr,,
7 Seafoam St,,
29 Wickham Rd,150.0,1950.0
18 Charming St,,
4 Dane Rd,154.0,2002.0
1/4 Flowerdale Rd,,
280 South Rd,,1955.0
7 Summit Av,,
6 Randell Cr,,
22/9 Lisson Gr,52.0,1970.0
6a Scott St,210.0,2005.0
49 Berkeley St,,
4 Bowen St,235.0,1905.0
29 Connell St,,
1/87 Denham St,,1965.0
23 Elgin St,116.0,
25/510 Glenferrie Rd,53.0,1950.0
8 Osborne Ct,99.0,1940.0
23/146 Power St,,
4/181 Riversdale Rd,49.0,1970.0
9/69 Wattle Rd,122.0,1969.0
118/862 Glenferrie Rd,82.0,2014.0
4 Osborne Ct,145.0,1940.0
13/175 Power St,,
8/36 Power St,,
188e Riversdale Rd,63.0,1995.0
16/5 Denham St,,1970.0
2/5 Finchley Ct,64.0,1930.0
523 Glenferrie Rd,,
4 Lawes St,,
36 Mason St,,
23 Melville St,,
244 Barkers Rd,,
15/284 Barkers Rd,,
7 Brook St,176.0,1940.0
511 Glenferrie Rd,353.0,1940.0
6/107 Riversdale Rd,,2007.0
10 Auburn Rd,,
8/150 Barkers Rd,103.0,2000.0
11/284 Barkers Rd,,
302/157 Burwood Rd,,
13/5 Denham St,88.0,1960.0
7/21 Elphin Gr,52.0,1970.0
51a Hawthorn Gr,374.0,1938.0
14 Malmsbury St,108.0,1890.0
3/178 Auburn Rd,,
1/185 Auburn Rd,,
5/576 Glenferrie Rd,,
303/25 Lynch St,60.0,2014.0
13/177 Power St,,
11/140 Riversdale Rd,56.0,1966.0
10/28 Wattle Rd,,
4/205 Auburn Rd,,1975.0
3/164 Barkers Rd,76.0,2003.0
530 Burwood Rd,155.0,1938.0
44 College St,90.0,1900.0
5 Elm St,,
28 Johnson St,151.0,1900.0
302/2 Tweed St,,
8/352 Auburn Rd,,
65/1 Domville Av,,
16/557 Glenferrie Rd,,
11/2 Grattan St,58.0,1960.0
8/32 Liddiard St,52.0,1970.0
8/1 Muir St,145.0,1999.0
69 Power St,,
188f Riversdale Rd,,
18 Robinson Rd,,
6 Salisbury Gr,109.0,1910.0
40 Swinburne Av,,
18 Violet Gr,,
3/185 Auburn Rd,,2004.0
9/63 Berkeley St,78.0,1960.0
3 Camden Rd,,1928.0
13/561 Glenferrie Rd,57.0,2004.0
85 Illawarra Rd,,1924.0
1/9 Kinkora Rd,,1970.0
99 Kooyongkoot Rd,226.0,1930.0
403/25 Lynch St,45.0,2014.0
144 Power St,362.0,1890.0
9/180 Riversdale Rd,,
5/65 Riversdale Rd,,
1/41 Morang Rd,,
3 Randolph St,150.0,1910.0
207/17 Riversdale Rd,,
5/67 Auburn Rd,51.0,1960.0
63/1 Domville Av,,
1/27 Glen St,,
2/2 Kooyongkoot Rd,,1960.0
16 Pine St,130.0,1900.0
5 Riversdale Rd,,1898.0
3/18 Connell St,,
3/1 Elm St,50.0,1940.0
9/26 Hawthorn Gln,,
7/35 Hill St,,
9/4 Lisson Gr,,
10 Oak St,220.0,1890.0
5 Power St,230.0,1890.0
4 Simpson Pl,,
4/178 Power St,,
8/203 Auburn Rd,,
6/8 Brook St,,1965.0
48 Connell St,,1910.0
4 Falmouth St,,1885.0
4 Kooyongkoot Rd,,
7/6 Osborne Ct,41.0,1950.0
78/8 Wallen Rd,180.0,2002.0
4 Ardene Ct,340.0,1890.0
31 Grove Rd,234.0,1890.0
3/566 Glenferrie Rd,72.0,1965.0
107/567 Glenferrie Rd,70.0,2013.0
7/150 Barkers Rd,97.0,1950.0
3/22 Connell St,,1960.0
23 Edgerton St,173.0,1890.0
2 Fordholm Rd,435.0,1930.0
3 Glen St,5.0,
7/3 Harrison Cr,,
7/12 Pine St,,
6/15 Yarra St,65.0,1970.0
11/70 Church St,75.0,1970.0
1 College St,148.0,1910.0
36 College St,,
6 Dean Av,,
305/567 Glenferrie Rd,88.0,2014.0
1B Hepburn St,178.0,2011.0
11/179 Power St,,
9 Power Av,,
3/8 Simpson Pl,,
392 Auburn Rd,,1890.0
13/284 Barkers Rd,,
8/22 Connell St,,1970.0
3/35 Creswick St,93.0,1940.0
8 Fashoda St,234.0,1890.0
14 Lyndhurst Cr,,
6/28 Manningtree Rd,196.0,2010.0
5/155 Power St,,1960.0
6/164 Barkers Rd,,
810/377 Burwood Rd,69.0,2008.0
22 Chrystobel Cr,,
8/14 Creswick St,,
21/1 Domville Av,,
2/21 Elphin Gr,73.0,1965.0
1/14 Illawarra Rd,71.0,1930.0
50 Kinkora Rd,373.0,1913.0
22/9 Lisson Gr,52.0,1970.0
14/107 Riversdale Rd,,2007.0
4A Simpson Pl,92.0,1900.0
5/40 Barkers Rd,70.0,1970.0
710/377 Burwood Rd,76.0,2005.0
13/506 Glenferrie Rd,,
6 Power St,225.0,1900.0
466 Auburn Rd,158.0,1940.0
1/28 Belgrave St,146.0,1992.0
10/32 Manningtree Rd,,1970.0
5 Wattle Gr,125.0,1900.0
23 William St,,1890.0
1203/377 Burwood Rd,,
1/4 Hill St,70.0,1965.0
80/8 Wallen Rd,100.0,
1/3 Clovelly Ct,,
24 College St,103.0,1890.0
8/67 Denham St,,
12/48 Oxley Rd,,
11/26 Selbourne St,,
43 Connell St,,1890.0
74 Denham St,,
5/29 Elphin Gr,71.0,1960.0
59 Mason St,171.0,1890.0
5/70 Power St,,
301/7 Riversdale Rd,,
18/508 Glenferrie Rd,,
10/150 Barkers Rd,82.0,2001.0
35 College St,,
8/578 Glenferrie Rd,,
2/4 Grattan St,,
12 Morang Rd,,
8B Myrtle St,151.0,1975.0
151 Power St,275.0,1890.0
2/472 Glenferrie Rd,,
24/563 Glenferrie Rd,,
10/60 Hawthorn Gr,56.0,1960.0
3/32 Power St,85.0,1970.0
9 Power St,344.0,1920.0
69 Urquhart St,270.0,1934.0
37 Brook St,126.0,1890.0
109/311 Burwood Rd,44.0,2014.0
13/44 Burwood Rd,89.0,2000.0
2 Ercildoune Av,,
216/6 Lisson Gr,,
318/6 Lisson Gr,,
301/25 Lynch St,,
17 Morang Rd,,
6/1 Power Av,,
3/33 Elphin Gr,,1970.0
27 Falmouth St,,1910.0
97 Edwin St,120.0,1930.0
2 Alfred St,,
1/32 Montgomery St,,
4 Collins St,,
75 Haig St,,
1/40 St Hellier St,,
2/96 Porter Rd,,
59 Southern Rd,,
16 Bamfield Rd,107.0,2007.0
78 Edwin St,,2013.0
6 Terry St,,
1/8 Lawson Pde,,
39 Marie Av,,
1/8 Mary Av,,
19 Dresden St,114.0,1960.0
1/179 Porter Rd,111.0,1955.0
36 Southern Rd,,
2 Bonar St,192.0,1950.0
12 Chauvel St,,
16 Eden St,,
7 Flinders St,,1955.0
4 Milton Ct,,1950.0
14 Sackville St,130.0,1950.0
24 Sackville St,167.0,1960.0
1/62 Southern Rd,118.0,2005.0
542 Waterdale Rd,,
6/34 Bonar St,125.0,2012.0
34 Law St,,
18 Shelley St,84.0,1950.0
5 Burns Ct,134.0,1960.0
15 Outhwaite Rd,161.0,1960.0
50 Outhwaite Rd,103.0,1955.0
33 Shakespeare Gr,78.0,1950.0
2/71 Southern Rd,,1970.0
1 Elliott St,216.0,1990.0
19 Collins St,85.0,1950.0
8 Leonard St,172.0,1972.0
82 Southern Rd,90.0,1955.0
12 Burns Ct,,
15 Baker Cr,,
26 Marie Av,,
6 Marks Av,,
1/35 Waiora Rd,98.0,1960.0
68 Bamfield Rd,,
2/35 Porter Rd,87.0,2008.0
478 Waterdale Rd,115.0,1960.0
498 Waterdale Rd,118.0,1960.0
13 Altona St,208.0,1975.0
3/17 Burns Ct,200.0,2012.0
1/97 Bamfield Rd,82.0,
4/28 Myrtle St,,
2 Law St,,
39 McEwan Rd,,
4 Sackville St,,
16a Shelley St,,
92A Southern Rd,,
7 Thames St,,1925.0
484 Waterdale Rd,101.0,1950.0
2/601 Upper Heidelberg Rd,83.0,1970.0
4 Thames St,132.0,1935.0
522 Waterdale Rd,,1994.0
23 Dougharty Rd,,
13 Glover St,90.0,1960.0
3/47 Southern Rd,,
96 Lloyd St,80.0,1955.0
146 Porter Rd,97.0,1950.0
26 Southern Rd,79.0,1955.0
50 Swanston St,,
11 Sackville St,191.0,1950.0
470 Waterdale Rd,99.0,1960.0
3 Ebony Pde,,
3a Katoomba Ct,,
23 Redwood St,86.0,1965.0
73 Pacific Dr,87.0,1960.0
11 Wewak Pde,,
1/34 Brunei Cr,,
1 Goodenough Ct,,
19 Ramu Pde,93.0,1960.0
1/11 Setani Cr,,
141 Dougharty Rd,,2013.0
62 Ramu Pde,,
335 Liberty Pde,,
2/287 Liberty Pde,90.0,2013.0
59 Alamein Rd,86.0,1955.0
15 Derna St,,1960.0
8 Blackwood Pde,,
253 Liberty Pde,,
365 Liberty Pde,,
184 Oriel Rd,,
6 Midway St,,1970.0
134 Outhwaite Rd,,
21 Pacific Dr,107.0,
250 Oriel Rd,,
290 Oriel Rd,,
35 Carbeena Pde,111.0,1960.0
186 Oriel Rd,88.0,1950.0
18 Tobruk Av,,
12 Corvette St,,1960.0
5 Pacific Dr,,
23 Catalina St,88.0,1950.0
2 Pandanus Ct,,
15/459 Waterdale Rd,85.0,1970.0
163 Dougharty Rd,81.0,1955.0
29 Morotai Pde,152.0,1955.0
138 Outhwaite Rd,,
26 Blackwood Pde,83.0,1950.0
19 Derna St,,
2/8 Maple Ct,93.0,2005.0
6 Pandanus Ct,,
109 Ramu Pde,,
523 Waterdale Rd,13.0,1980.0
5 Barce Pl,196.0,1990.0
23 Morotai Pde,,
5 Mulberry Pde,18.0,1965.0
16 Achilles St,106.0,1960.0
38 Coomalie Cr,,
138 Outhwaite Rd,,
111 Ramu Pde,99.0,1950.0
23 South Cr,,
187 Southern Rd,,
22 Redwood St,,
116 Southern Rd,,
17 Blackwood Pde,,
22 Kokoda St,77.0,1960.0
296 Oriel Rd,,
190 Southern Rd,,
18 Achilles St,,
37 Alamein Rd,,
9 Ambon Ct,,
12a Lae St,,
257 Liberty Pde,,
262 Liberty Pde,85.0,1960.0
131 Outhwaite Rd,,
57 Euston Rd,,
18 Paget St,97.0,1950.0
1/13 Swindon Rd,76.0,1970.0
67 Dallas Av,,
20 Dalston Rd,128.0,1920.0
13/30 Maroo St,,
30 Kinrade St,126.0,1949.0
2/19 Swindon Rd,118.0,2002.0
8a Camden Rd,,1998.0
19 Canterbury St,97.0,1930.0
1/53 Euston Rd,,
4/89 Kangaroo Rd,90.0,1970.0
3 Paget St,315.0,1925.0
8 Bowmore St,185.0,1925.0
5/1312 Dandenong Rd,96.0,2010.0
14 Bowmore St,180.0,1940.0
105/175 Kangaroo Rd,70.0,2010.0
6/2 Paddington Rd,,1970.0
8 Skipton Rd,,
159 Warrigal Rd,,
1/115 Warrigal Rd,,
20 Bowmore St,,
1 Calembeena Av,,
22 Skipton Rd,100.0,1930.0
3/14 Rugby Rd,60.0,1960.0
1/8 Calembeena Av,,
5/7 Warrigal Rd,88.0,1975.0
2/3 Bowen St,,
15 Moorookyle Av,,
32 Calembeena Av,,
37 Darling St,122.0,1940.0
19 Argyle Cl,,
35 Dallas Av,,
3 Dalston Rd,184.0,1950.0
1/3 Euston Rd,154.0,1975.0
172 Poath Rd,,
1051 North Rd,83.0,1950.0
9/88 Marshall St,,
2/125 Locksley Rd,,1970.0
3/3 Merton St,,1970.0
14 Tate St,,
51 Elphin St,,
19 Fairy St,232.0,1935.0
20 Green St,208.0,1925.0
4 Linton St,,
5/84 Locksley Rd,,
8/74 Marshall St,,1960.0
33 Thoresby Gr,,
3/123 Waterdale Rd,,
9 Cook St,378.0,2016.0
20 Locksley Rd,201.0,1920.0
3/11 Oriel Rd,140.0,2005.0
7/15 Carn Av,,
83 Bond St,136.0,1960.0
6/105 Locksley Rd,,1960.0
5/52 Locksley Rd,91.0,1965.0
7 Robbins St,,
15 Toora St,330.0,2000.0
1/34 Edwin St,110.0,1950.0
950 Heidelberg Rd,170.0,1945.0
84 Livingstone St,138.0,1925.0
1 Rocke St,,
24 Dalveen Rd,78.0,1955.0
15 Fairy St,,
5/22 Oriel Rd,,
5 Stanley St,126.0,1960.0
3/8 Green St,130.0,1980.0
4/13 Ivanhoe Pde,,
4/6 Linton St,,
5/30 Magnolia Rd,59.0,1960.0
1/37 Myrtle St,,2003.0
5/14 Athelstane Gr,70.0,1960.0
30 Oriel Rd,110.0,1975.0
1 Bond St,,
10 Abbotsford Gr,165.0,1920.0
6/14 Athelstane Gr,78.0,1960.0
9 Central Av,,
2/80 Marshall St,,1960.0
1/7 Ambrose St,,
