CouncilArea,Postcode,Regionname,Bedroom2,Bathroom,Car,Propertycount,Landsize,Distance,Lattitude,Longtitude
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,250.0,8.0,-37.8667,144.903
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,418.0,8.0,-37.8571,144.8767
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,2.0,6380.0,0.0,8.0,-37.8536,144.899
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.8536,144.8981
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,0.0,6380.0,240.0,8.0,-37.8544,144.8922
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.857,144.891
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,270.0,8.0,-37.8608,144.8803
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,466.0,8.0,-37.8621,144.8872
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,1.0,1.0,6380.0,307.0,8.0,-37.8525,144.8945
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,233.0,8.0,-37.8573,144.8911
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,512.0,8.0,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,2.0,1.0,6380.0,193.0,8.0,-37.858000000000004,144.9005
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,512.0,8.0,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.8504,144.8924
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,189.0,8.0,-37.8643,144.9043
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,265.0,8.0,-37.853,144.8928
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,470.0,8.0,-37.8587,144.8871
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,2.0,2.0,6380.0,344.0,8.0,-37.8617,144.8799
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,1.0,6380.0,477.0,8.0,-37.8516,144.8949
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,2.0,2.0,6380.0,648.0,8.0,-37.8601,144.8879
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,289.0,8.0,-37.8593,144.8881
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,185.0,8.0,-37.8664,144.9072
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,1.0,2.0,6380.0,0.0,8.0,-37.8519,144.8968
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.8563,144.8995
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.8612,144.8971
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,151.0,8.0,-37.8666,144.9058
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,2.0,6380.0,204.0,8.0,-37.8551,144.8959
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,0.0,6380.0,249.0,8.0,-37.86,144.895
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,0.0,8.0,-37.8586,144.8937
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,0.0,6380.0,297.0,8.0,-37.8645,144.8977
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,512.0,8.0,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,2.0,6380.0,183.0,8.0,-37.8555,144.8952
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,2.0,2.0,6380.0,265.0,8.0,-37.8656,144.9039
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,6380.0,307.0,8.0,-37.855,144.8985
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,189.0,8.0,-37.8605,144.8998
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,506.0,8.0,-37.8592,144.888
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,2.0,2.0,6380.0,369.0,8.0,-37.8576,144.8992
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,512.0,8.0,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,1.0,3.0,6380.0,765.0,8.0,-37.8621,144.8999
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,2.0,0.0,6380.0,199.0,8.0,-37.8615,144.9023
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,2.0,1.0,6380.0,260.0,8.0,-37.8671,144.9001
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,3.0,3.0,6380.0,500.0,8.0,-37.8638,144.8798
Hobsons Bay City Council,3016.0,Western Metropolitan,1.0,1.0,1.0,6380.0,0.0,8.0,-37.8586,144.8933
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,6380.0,512.0,8.0,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,802.0,53.0,8.9,-37.8563,144.8782
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,802.0,512.0,8.9,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,802.0,512.0,8.9,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,802.0,0.0,8.9,-37.8564,144.8864
Hobsons Bay City Council,3016.0,Western Metropolitan,5.0,2.0,5.0,802.0,680.0,8.9,-37.8561,144.8859
Hobsons Bay City Council,3016.0,Western Metropolitan,1.0,1.0,1.0,802.0,0.0,8.9,-37.8571,144.8841
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,802.0,0.0,8.9,-37.8573,144.8854
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,1.0,3.0,802.0,468.0,8.9,-37.8559,144.8785
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,2.0,802.0,512.0,8.9,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,802.0,0.0,8.9,-37.8564,144.8864
Hobsons Bay City Council,3016.0,Western Metropolitan,4.0,3.0,4.0,802.0,672.0,8.9,-37.8536,144.8734
Hobsons Bay City Council,3016.0,Western Metropolitan,2.0,1.0,1.0,802.0,0.0,8.9,-37.8571,144.8841
Hobsons Bay City Council,3016.0,Western Metropolitan,1.0,1.0,1.0,802.0,46.0,8.9,-37.80696302719972,144.99671101938742
Hobsons Bay City Council,3016.0,Western Metropolitan,3.0,1.0,1.0,802.0,311.0,8.9,-37.8546,144.8762
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,2.0,1.0,4380.0,0.0,5.1,-37.8558,144.9903
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,2.0,4380.0,361.0,5.1,-37.8546,144.9865
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,1.0,4380.0,0.0,5.1,-37.8565,144.998
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,4.0,4380.0,440.0,5.1,-37.8528,144.9994
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,2.0,4380.0,118.0,5.1,-37.855,144.9961
Port Phillip City Council,3181.0,Southern Metropolitan,4.0,2.0,1.0,4380.0,321.0,5.1,-37.8559,144.9948
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,598.0,5.1,-37.8564,144.9971
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,1043.0,5.1,-37.8581,144.9972
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8577,145.0002
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8564,145.0016
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,0.0,4380.0,153.0,5.1,-37.8535,144.9952
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,2.0,1.0,4380.0,138.0,5.1,-37.8556,144.995
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,2.0,4380.0,317.0,5.1,-37.856,144.9891
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,2.0,4380.0,512.0,5.1,-37.80696302719972,144.99671101938742
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8574,145.0
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8533,144.9986
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8568,145.0004
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,1057.0,5.1,-37.8552,145.0005
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8584,144.9994
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8573,144.9987
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,2.0,1.0,4380.0,0.0,5.1,-37.8554,144.9982
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,0.0,5.1,-37.8571,144.9979
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8555,145.0018
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,2.0,2.0,4380.0,521.0,5.1,-37.8543,144.9939
Port Phillip City Council,3181.0,Southern Metropolitan,4.0,1.0,1.0,4380.0,230.0,5.1,-37.8549,144.9948
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8559,144.999
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,2.0,4380.0,0.0,5.1,-37.8518,144.9868
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,2.0,2.0,4380.0,0.0,5.1,-37.8526,144.9977
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,2.0,1.0,4380.0,0.0,5.1,-37.8563,144.9916
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,705.0,5.1,-37.8556,144.9977
Port Phillip City Council,3181.0,Southern Metropolitan,1.0,1.0,1.0,4380.0,706.0,5.1,-37.8556,144.9977
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8572,144.9974
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,1452.0,5.1,-37.8554,145.0018
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,0.0,4380.0,140.0,5.1,-37.8547,144.9959
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8533,144.9881
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,2.0,1.0,4380.0,322.0,5.1,-37.8547,144.9995
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,2.0,4380.0,181.0,5.1,-37.8549,145.0006
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8574,145.0006
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,1.0,4380.0,116.0,5.1,-37.8533,144.9913
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,1.0,0.0,4380.0,365.0,5.1,-37.8554,145.0001
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8565,145.0011
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8585,145.0004
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,0.0,5.1,-37.8552,145.0005
Port Phillip City Council,3181.0,Southern Metropolitan,2.0,1.0,1.0,4380.0,157.0,5.1,-37.8522,144.986
Port Phillip City Council,3181.0,Southern Metropolitan,3.0,3.0,1.0,4380.0,143.0,5.1,-37.8525,144.9881
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,4.0,1.0,1.0,1369.0,530.0,15.0,-37.7251,145.1053
Banyule City Council,3085.0,Northern Metropolitan,4.0,3.0,1.0,1369.0,531.0,15.0,-37.7198,145.1034
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,568.0,15.0,-37.7216,145.1066
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,1.0,1369.0,536.0,15.0,-37.7233,145.1045
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,586.0,15.0,-37.7279,145.1017
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,1.0,1369.0,614.0,15.0,-37.7305,145.08100000000002
Banyule City Council,3085.0,Northern Metropolitan,4.0,2.0,2.0,1369.0,551.0,15.0,-37.7302,145.0883
Banyule City Council,3085.0,Northern Metropolitan,4.0,2.0,2.0,1369.0,761.0,15.0,-37.7218,145.108
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,1.0,1369.0,706.0,15.0,-37.731,145.0811
Banyule City Council,3085.0,Northern Metropolitan,4.0,2.0,1.0,1369.0,592.0,15.0,-37.728,145.1017
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,566.0,15.0,-37.7195,145.1034
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,1.0,1369.0,616.0,15.0,-37.7306,145.0854
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,4.0,2.0,4.0,1369.0,535.0,15.0,-37.7225,145.1037
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,555.0,15.0,-37.7214,145.1034
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,587.0,15.0,-37.72,145.1014
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,2.0,1369.0,512.0,15.0,-37.80696302719972,144.99671101938742
Banyule City Council,3085.0,Northern Metropolitan,3.0,2.0,2.0,1369.0,660.0,15.0,-37.7285,145.0845
Banyule City Council,3085.0,Northern Metropolitan,3.0,1.0,1.0,1369.0,687.0,15.0,-37.7303,145.0823
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,1.0,6543.0,448.0,7.0,-37.8228,144.8799
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,471.0,7.0,-37.8149,144.8707
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,134.0,7.0,-37.8176,144.8911
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,0.0,6543.0,191.0,7.0,-37.8175,144.8879
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,427.0,7.0,-37.8187,144.8771
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,323.0,7.0,-37.8108,144.8899
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,428.0,7.0,-37.8167,144.8965
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,213.0,7.0,-37.8175,144.8964
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,0.0,7.0,-37.8113,144.8955
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,138.0,7.0,-37.82,144.891
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,0.0,6543.0,166.0,7.0,-37.8209,144.8913
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,503.0,7.0,-37.8159,144.8626
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,244.0,7.0,-37.8139,144.8741
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,152.0,7.0,-37.8228,144.8833
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,2.0,1.0,6543.0,159.0,7.0,-37.8154,144.8917
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,220.0,7.0,-37.8115,144.8875
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,0.0,6543.0,164.0,7.0,-37.8198,144.8839
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,473.0,7.0,-37.8217,144.8842
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,0.0,6543.0,214.0,7.0,-37.8175,144.8929
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,1555.0,7.0,-37.8156,144.8943
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,442.0,7.0,-37.8182,144.8727
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,3.0,2.0,6543.0,197.0,7.0,-37.8197,144.8875
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,188.0,7.0,-37.8184,144.8809
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,261.0,7.0,-37.8157,144.887
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,477.0,7.0,-37.8186,144.8736
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,0.0,6543.0,165.0,7.0,-37.819,144.895
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,2.0,1.0,6543.0,462.0,7.0,-37.8128,144.8695
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,0.0,0.0,6543.0,0.0,7.0,-37.8129,144.8952
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,1.0,6543.0,319.0,7.0,-37.8197,144.8957
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,230.0,7.0,-37.8124,144.8875
Maribyrnong City Council,3013.0,Western Metropolitan,5.0,2.0,2.0,6543.0,644.0,7.0,-37.8102,144.8857
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,148.0,7.0,-37.821999999999996,144.89
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,3.0,6543.0,766.0,7.0,-37.8126,144.8905
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,640.0,7.0,-37.8104,144.8867
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,0.0,7.0,-37.8133,144.8865
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,4.0,6543.0,902.0,7.0,-37.8153,144.8796
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,289.0,7.0,-37.8143,144.8865
Maribyrnong City Council,3013.0,Western Metropolitan,1.0,1.0,2.0,6543.0,0.0,7.0,-37.8173,144.894
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,0.0,7.0,-37.8128,144.8953
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,2.0,0.0,6543.0,352.0,7.0,-37.8164,144.8869
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,270.0,7.0,-37.8148,144.8884
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,442.0,7.0,-37.8201,144.872
Maribyrnong City Council,3013.0,Western Metropolitan,1.0,1.0,2.0,6543.0,0.0,7.0,-37.8173,144.894
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,444.0,7.0,-37.8193,144.8753
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,0.0,7.0,-37.8106,144.8957
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,464.0,7.0,-37.8151,144.8638
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,3.0,1.0,6543.0,217.0,7.0,-37.8188,144.8884
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,0.0,0.0,6543.0,94.0,7.0,-37.815,144.8827
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,3.0,6543.0,670.0,7.0,-37.8134,144.8745
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,3.0,1.0,6543.0,0.0,7.0,-37.8194,144.8826
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,2.0,6543.0,360.0,7.0,-37.8212,144.8887
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,446.0,7.0,-37.8183,144.8666
Maribyrnong City Council,3013.0,Western Metropolitan,1.0,1.0,1.0,6543.0,0.0,7.0,-37.8111,144.887
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,240.0,7.0,-37.8202,144.8896
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,202.0,7.0,-37.8196,144.8839
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,3.0,6543.0,539.0,7.0,-37.8152,144.8703
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,472.0,7.0,-37.824,144.8805
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,417.0,7.0,-37.8197,144.8969
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,438.0,7.0,-37.8177,144.8711
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,1.0,6543.0,0.0,7.0,-37.8222,144.8956
Maribyrnong City Council,3013.0,Western Metropolitan,1.0,1.0,1.0,6543.0,0.0,7.0,-37.8184,144.8904
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,482.0,7.0,-37.815,144.8968
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,248.0,7.0,-37.8157,144.8925
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,1.0,6543.0,249.0,7.0,-37.8099,144.8859
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,0.0,6543.0,297.0,7.0,-37.8108,144.888
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,189.0,7.0,-37.8159,144.8795
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,2.0,6543.0,341.0,7.0,-37.8224,144.8818
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,1.0,6543.0,306.0,7.0,-37.8102,144.8885
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,2.0,2.0,6543.0,168.0,7.0,-37.8225,144.8814
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,3.0,4.0,6543.0,446.0,7.0,-37.8146,144.8692
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,1.0,6543.0,288.0,7.0,-37.8202,144.88299999999998
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,325.0,7.0,-37.8195,144.8973
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,1.0,3.0,6543.0,411.0,7.0,-37.8117,144.8873
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,195.0,7.0,-37.8198,144.8904
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,206.0,7.0,-37.8127,144.8965
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,448.0,7.0,-37.8171,144.8753
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,5.0,6543.0,558.0,7.0,-37.8119,144.868
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,0.0,6543.0,128.0,7.0,-37.8179,144.8908
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,3.0,6543.0,486.0,7.0,-37.8214,144.8796
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,2.0,6543.0,431.0,7.0,-37.8186,144.8764
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,0.0,6543.0,261.0,7.0,-37.8209,144.8896
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,2.0,6543.0,542.0,7.0,-37.811,144.8844
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,3.0,2.0,6543.0,386.0,7.0,-37.816,144.8936
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,229.0,7.0,-37.8172,144.8919
Maribyrnong City Council,3013.0,Western Metropolitan,4.0,2.0,3.0,6543.0,455.0,7.0,-37.8177,144.8839
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,664.0,7.0,-37.8172,144.8676
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,2.0,6543.0,512.0,7.0,-37.80696302719972,144.99671101938742
Maribyrnong City Council,3013.0,Western Metropolitan,2.0,1.0,1.0,6543.0,435.0,7.0,-37.8223,144.8779
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,1.0,1.0,6543.0,463.0,7.0,-37.8137,144.8636
Maribyrnong City Council,3013.0,Western Metropolitan,3.0,2.0,0.0,6543.0,105.0,7.0,-37.8191,144.8909
